[9.820840,-0.931593,3.190987,-0.238543,0.606425,-0.758515,0.000000,1.000000],[1.938585,4.025183,-2.202239,0.063099,0.203213,-0.977099,0.000000,1.000000],[1.821293,3.076378,-5.809223,0.591205,-0.805439,0.041765,0.000000,1.000000],[4.143122,-5.040382,0.766746,0.006537,0.918241,-0.395969,0.000000,1.000000],[-0.636239,-0.184134,4.222859,0.669636,0.141115,0.729160,0.000000,1.000000],
[9.518264,-0.313960,2.400900,-0.288856,0.589624,-0.754258,1.047501,1.000000],[2.016474,4.190035,-3.156978,0.080133,0.169602,-0.982249,0.971992,1.000000],[2.428460,2.242066,-5.709027,0.585667,-0.804769,0.096648,1.036710,1.000000],[4.142403,-4.069846,0.363448,-0.000684,0.923445,-0.383730,1.050994,1.000000],[0.073934,-0.039287,4.910129,0.711003,0.145016,0.688073,0.998833,1.000000],
[9.170584,0.282822,1.620250,-0.333561,0.572548,-0.748950,1.042326,1.000000],[2.112801,4.321754,-4.110041,0.099622,0.136224,-0.985656,0.966932,1.000000],[3.026202,1.390021,-5.541710,0.567027,-0.808263,0.158720,1.054168,1.000000],[4.129466,-3.049390,-0.033556,-0.011814,0.931890,-0.362547,1.095039,1.000000],[0.778667,0.113872,5.587255,0.712394,0.154824,0.684488,0.989245,1.000000],
[8.783753,0.858659,0.850142,-0.373216,0.555570,-0.743002,1.036482,1.000000],[2.229730,4.420879,-5.059552,0.121572,0.103061,-0.987218,0.961806,1.000000],[3.601402,0.555574,-5.320454,0.554486,-0.804397,0.213288,1.037358,1.000000],[4.114792,-2.036171,-0.405788,-0.013593,0.938574,-0.344810,1.079530,1.000000],[1.470226,0.278087,6.246535,0.713338,0.169386,0.680042,0.969469,1.000000],
[8.363100,1.413797,0.091260,-0.408377,0.538936,-0.736734,1.030062,1.000000],[2.369405,4.487886,-6.003553,0.146008,0.070045,-0.986801,0.956627,1.000000],[4.160274,-0.254006,-5.053167,0.548229,-0.794164,0.262198,1.019412,1.000000],[4.100451,-1.032469,-0.756778,-0.013486,0.943862,-0.330064,1.063399,1.000000],[2.148433,0.457826,6.887382,0.713722,0.189151,0.674405,0.950240,1.000000],
[7.913376,1.948741,-0.656056,-0.439536,0.522824,-0.730386,1.023180,1.000000],[2.534002,4.523198,-6.939987,0.172997,0.037114,-0.984223,0.951446,1.000000],[4.709184,-1.032886,-4.745721,0.548231,-0.777916,0.307065,1.001239,1.000000],[4.088244,-0.039620,-1.089691,-0.011657,0.948055,-0.317894,1.047248,1.000000],[2.813111,0.657918,7.508941,0.713360,0.214747,0.667084,0.931756,1.000000],
[7.438822,2.464192,-1.391726,-0.467115,0.507372,-0.724139,1.015924,1.000000],[2.725774,4.527194,-7.866655,0.202652,0.004223,-0.979242,0.946312,1.000000],[5.254439,-1.775673,-4.402364,0.554501,-0.755382,0.349180,0.983326,1.000000],[4.079820,0.941416,-1.407254,-0.008169,0.951365,-0.307958,1.031188,1.000000],[3.463912,0.883768,8.109890,0.711911,0.247058,0.657377,0.914161,1.000000],
[6.943245,2.961004,-2.115864,-0.491468,0.492692,-0.718132,1.008363,1.000000],[2.947095,4.500228,-8.781147,0.235127,-0.028649,-0.971542,0.941278,1.000000],[5.802321,-2.476773,-4.026052,0.567114,-0.725710,0.389521,0.966088,1.000000],[4.076779,1.909959,-1.711823,-0.002996,0.953942,-0.299977,1.015307,1.000000],[4.100175,1.141606,8.688236,0.708801,0.287232,0.644282,0.897661,1.000000],
[6.430083,3.440158,-2.828731,-0.512879,0.478890,-0.712474,1.000551,1.000000],[3.200490,4.442648,-9.680771,0.270606,-0.061490,-0.960724,0.936402,1.000000],[6.359151,-3.129804,-3.618783,0.586176,-0.687448,0.428733,0.949936,1.000000],[4.080754,2.865541,-2.005448,0.003977,0.955884,-0.293718,0.999684,1.000000],[4.720698,1.438738,9.241029,0.703093,0.336670,0.626349,0.882562,1.000000],
[5.902486,3.902761,-3.530703,-0.531565,0.466082,-0.707252,0.992535,1.000000],[3.488673,4.354846,-10.562473,0.309292,-0.094233,-0.946287,0.931750,1.000000],[6.931318,-3.727000,-3.181931,0.611722,-0.638481,0.467052,0.935338,1.000000],[4.093507,3.807857,-2.289925,0.012954,0.957246,-0.288984,0.984403,1.000000],[5.323391,1.783792,9.763920,0.693293,0.396924,0.601495,0.869319,1.000000],
[5.363375,4.350061,-4.222251,-0.547680,0.454408,-0.702538,0.984355,1.000000],[3.814558,4.237309,-11.422737,0.351396,-0.126739,-0.927609,0.927400,1.000000],[7.525206,-4.258554,-2.716670,0.643511,-0.575969,0.504136,0.922886,1.000000],[4.117005,4.736728,-2.566837,0.024236,0.958040,-0.285608,0.969554,1.000000],[5.904733,2.186850,10.250549,0.677068,0.469427,0.566760,0.858616,1.000000],
